 data_id  name                         qp_set  dataset_name  width  height 
 0        FLIR_08931                   QP0     FLIR          640    512    
 1        FLIR_08932                   QP0     FLIR          640    512    
 2        FLIR_08933                   QP0     FLIR          640    512    
 3        FLIR_08934                   QP0     FLIR          640    512    
 4        FLIR_08935                   QP0     FLIR          640    512    
 5        FLIR_08936                   QP0     FLIR          640    512    
 6        FLIR_08937                   QP0     FLIR          640    512    
 7        FLIR_08938                   QP0     FLIR          640    512    
 8        FLIR_08939                   QP0     FLIR          640    512    
 9        FLIR_08940                   QP0     FLIR          640    512    
 10       FLIR_08941                   QP0     FLIR          640    512    
 11       FLIR_08942                   QP0     FLIR          640    512    
 12       FLIR_08943                   QP0     FLIR          640    512    
 13       FLIR_08944                   QP0     FLIR          640    512    
 14       FLIR_08945                   QP0     FLIR          640    512    
 15       FLIR_08946                   QP0     FLIR          640    512    
 16       FLIR_08947                   QP0     FLIR          640    512    
 17       FLIR_08948                   QP0     FLIR          640    512    
 18       FLIR_08949                   QP0     FLIR          640    512    
 19       FLIR_08950                   QP0     FLIR          640    512    
 20       FLIR_08951                   QP0     FLIR          640    512    
 21       FLIR_08952                   QP0     FLIR          640    512    
 22       FLIR_08953                   QP0     FLIR          640    512    
 23       FLIR_08954                   QP0     FLIR          640    512    
 24       FLIR_08955                   QP0     FLIR          640    512    
 25       FLIR_08956                   QP0     FLIR          640    512    
 26       FLIR_08957                   QP0     FLIR          640    512    
 27       FLIR_08958                   QP0     FLIR          640    512    
 28       FLIR_08959                   QP0     FLIR          640    512    
 29       FLIR_08960                   QP0     FLIR          640    512    
 30       FLIR_08961                   QP0     FLIR          640    512    
 31       FLIR_08962                   QP0     FLIR          640    512    
 32       FLIR_08963                   QP0     FLIR          640    512    
 33       FLIR_08964                   QP0     FLIR          640    512    
 34       FLIR_08965                   QP0     FLIR          640    512    
 35       FLIR_08966                   QP0     FLIR          640    512    
 36       FLIR_08967                   QP0     FLIR          640    512    
 37       FLIR_08968                   QP0     FLIR          640    512    
 38       FLIR_08969                   QP0     FLIR          640    512    
 39       FLIR_08970                   QP0     FLIR          640    512    
 40       FLIR_08971                   QP0     FLIR          640    512    
 41       FLIR_08972                   QP0     FLIR          640    512    
 42       FLIR_08973                   QP0     FLIR          640    512    
 43       FLIR_08974                   QP0     FLIR          640    512    
