 data_id  name                          qp_set  dataset_name  width  height  intra_period  frame_rate  frames_num  frame_skip 
 8655     TVD-01                        QP0     TVD_video     1920   1080    64            50          3000        0          
 8656     TVD-02                        QP4     TVD_video     1920   1080    64            50          636         0          
 8657     TVD-03                        QP0     TVD_video     1920   1080    64            50          2334        0          
 8658     Traffic_2560x1600_30_crop     QP1     SFU_HW        2560   1600    32            30          33          117        
 8659     Kimono1_1920x1080_24          QP2     SFU_HW        1920   1080    32            24          33          207        
 8660     ParkScene_1920x1080_24        QP2     SFU_HW        1920   1080    32            24          33          207        
 8661     Cactus_1920x1080_50           QP2     SFU_HW        1920   1080    64            50          97          403        
 8662     BasketballDrive_1920x1080_50  QP2     SFU_HW        1920   1080    64            50          97          403        
 8663     BQTerrace_1920x1080_60        QP2     SFU_HW        1920   1080    64            60          129         471        
 8664     BasketballDrill_832x480_50    QP3     SFU_HW        832    480     64            50          97          403        
 8665     BQMall_832x480_60             QP3     SFU_HW        832    480     64            60          129         471        
 8666     PartyScene_832x480_50         QP3     SFU_HW        832    480     64            50          97          403        
 8667     RaceHorses_832x480_30         QP3     SFU_HW        832    480     32            30          65          235        
 8668     BasketballPass_416x240_50     QP0     SFU_HW        416    240     64            50          97          403        
 8669     BQSquare_416x240_60           QP0     SFU_HW        416    240     64            60          129         471        
 8670     BlowingBubbles_416x240_50     QP0     SFU_HW        416    240     64            50          97          403        
 8671     RaceHorses_416x240_30         QP0     SFU_HW        416    240     32            30          65          235        
 8672     FourPeople_1280x720_60        QP0     SFU_HW        1280   720     64            60          129         471        
 8673     Johnny_1280x720_60            QP0     SFU_HW        1280   720     64            60          129         471        
 8674     KristenAndSara_1280x720_60    QP0     SFU_HW        1280   720     64            60          129         471        
